id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,curah_hujan,satuan,bulan,tahun
1,32,JAWA BARAT,3274,KOTA CIREBON,549,MM,DESEMBER,2025
2,32,JAWA BARAT,3275,KOTA CIREBON,406,MM,NOVEMBER,2025
3,32,JAWA BARAT,3276,KOTA CIREBON,73,MM,OKTOBER,2025
4,32,JAWA BARAT,3277,KOTA CIREBON,32,MM,SEPTEMBER,2025
5,32,JAWA BARAT,3278,KOTA CIREBON,128,MM,AGUSTUS,2025
6,32,JAWA BARAT,3279,KOTA CIREBON,89,MM,JULI,2025
7,32,JAWA BARAT,3280,KOTA CIREBON,60,MM,JUNI,2025
8,32,JAWA BARAT,3281,KOTA CIREBON,205,MM,MEI,2025
9,32,JAWA BARAT,3282,KOTA CIREBON,298,MM,APRIL,2025
10,32,JAWA BARAT,3283,KOTA CIREBON,516,MM,MARET,2025
11,32,JAWA BARAT,3284,KOTA CIREBON,406,MM,FEBRUARI,2025
12,32,JAWA BARAT,3285,KOTA CIREBON,509,MM,JANUARI,2025
13,32,JAWA BARAT,3274,KOTA CIREBON,263,MM,DESEMBER,2024
14,32,JAWA BARAT,3274,KOTA CIREBON,197,MM,NOVEMBER,2024
15,32,JAWA BARAT,3274,KOTA CIREBON,0,MM,OKTOBER,2024
16,32,JAWA BARAT,3274,KOTA CIREBON,35,MM,SEPTEMBER,2024
17,32,JAWA BARAT,3274,KOTA CIREBON,1,MM,AGUSTUS,2024
18,32,JAWA BARAT,3274,KOTA CIREBON,58,MM,JULI,2024
19,32,JAWA BARAT,3274,KOTA CIREBON,92,MM,JUNI,2024
20,32,JAWA BARAT,3274,KOTA CIREBON,54,MM,MEI,2024
21,32,JAWA BARAT,3274,KOTA CIREBON,126,MM,APRIL,2024
22,32,JAWA BARAT,3274,KOTA CIREBON,228,MM,MARET,2024
23,32,JAWA BARAT,3274,KOTA CIREBON,599,MM,FEBRUARI,2024
24,32,JAWA BARAT,3274,KOTA CIREBON,455,MM,JANUARI,2024
25,32,JAWA BARAT,3274,KOTA CIREBON,117,MM,DESEMBER,2023
26,32,JAWA BARAT,3274,KOTA CIREBON,82,MM,NOVEMBER,2023
27,32,JAWA BARAT,3274,KOTA CIREBON,"4,5",MM,OKTOBER,2023
28,32,JAWA BARAT,3274,KOTA CIREBON,0,MM,SEPTEMBER,2023
29,32,JAWA BARAT,3274,KOTA CIREBON,0,MM,AGUSTUS,2023
30,32,JAWA BARAT,3274,KOTA CIREBON,11,MM,JULI,2023
31,32,JAWA BARAT,3274,KOTA CIREBON,"62,3",MM,JUNI,2023
32,32,JAWA BARAT,3274,KOTA CIREBON,"86,5",MM,MEI,2023
33,32,JAWA BARAT,3274,KOTA CIREBON,"207,3",MM,APRIL,2023
34,32,JAWA BARAT,3274,KOTA CIREBON,"439,9",MM,MARET,2023
35,32,JAWA BARAT,3274,KOTA CIREBON,"396,1",MM,FEBRUARI,2023
36,32,JAWA BARAT,3274,KOTA CIREBON,"450,9",MM,JANUARI,2023
37,32,JAWA BARAT,3274,KOTA CIREBON,"409,8",MM,DESEMBER,2022
38,32,JAWA BARAT,3274,KOTA CIREBON,"182,2",MM,NOVEMBER,2022
39,32,JAWA BARAT,3274,KOTA CIREBON,"327,6",MM,OKTOBER,2022
40,32,JAWA BARAT,3274,KOTA CIREBON,"27,1",MM,SEPTEMBER,2022
41,32,JAWA BARAT,3274,KOTA CIREBON,"1,7",MM,AGUSTUS,2022
42,32,JAWA BARAT,3274,KOTA CIREBON,"212,1",MM,JULI,2022
43,32,JAWA BARAT,3274,KOTA CIREBON,"122,6",MM,JUNI,2022
44,32,JAWA BARAT,3274,KOTA CIREBON,"168,3",MM,MEI,2022
45,32,JAWA BARAT,3274,KOTA CIREBON,"293,5",MM,APRIL,2022
46,32,JAWA BARAT,3274,KOTA CIREBON,483,MM,MARET,2022
47,32,JAWA BARAT,3274,KOTA CIREBON,"242,9",MM,FEBRUARI,2022
48,32,JAWA BARAT,3274,KOTA CIREBON,"490,1",MM,JANUARI,2022
49,32,JAWA BARAT,3274,KOTA CIREBON,"418,3",MM,DESEMBER,2021
50,32,JAWA BARAT,3274,KOTA CIREBON,"305,2",MM,NOVEMBER,2021
51,32,JAWA BARAT,3274,KOTA CIREBON,"67,8",MM,OKTOBER,2021
52,32,JAWA BARAT,3274,KOTA CIREBON,"118,1",MM,SEPTEMBER,2021
53,32,JAWA BARAT,3274,KOTA CIREBON,"16,5",MM,AGUSTUS,2021
54,32,JAWA BARAT,3274,KOTA CIREBON,"20,4",MM,JULI,2021
55,32,JAWA BARAT,3274,KOTA CIREBON,"159,4",MM,JUNI,2021
56,32,JAWA BARAT,3274,KOTA CIREBON,55,MM,MEI,2021
57,32,JAWA BARAT,3274,KOTA CIREBON,"134,6",MM,APRIL,2021
58,32,JAWA BARAT,3274,KOTA CIREBON,"261,7",MM,MARET,2021
59,32,JAWA BARAT,3274,KOTA CIREBON,"540,5",MM,FEBRUARI,2021
60,32,JAWA BARAT,3274,KOTA CIREBON,"437,5",MM,JANUARI,2021
61,32,JAWA BARAT,3274,KOTA CIREBON,"605,5",MM,DESEMBER,2020
62,32,JAWA BARAT,3274,KOTA CIREBON,"212,8",MM,NOVEMBER,2020
63,32,JAWA BARAT,3274,KOTA CIREBON,"137,7",MM,OKTOBER,2020
64,32,JAWA BARAT,3274,KOTA CIREBON,"18,6",MM,SEPTEMBER,2020
65,32,JAWA BARAT,3274,KOTA CIREBON,"8,3",MM,AGUSTUS,2020
66,32,JAWA BARAT,3274,KOTA CIREBON,"50,9",MM,JULI,2020
67,32,JAWA BARAT,3274,KOTA CIREBON,"92,6",MM,JUNI,2020
68,32,JAWA BARAT,3274,KOTA CIREBON,"240,1",MM,MEI,2020
69,32,JAWA BARAT,3274,KOTA CIREBON,"176,5",MM,APRIL,2020
70,32,JAWA BARAT,3274,KOTA CIREBON,"370,5",MM,MARET,2020
71,32,JAWA BARAT,3274,KOTA CIREBON,"588,3",MM,FEBRUARI,2020
72,32,JAWA BARAT,3274,KOTA CIREBON,550,MM,JANUARI,2020
73,32,JAWA BARAT,3274,KOTA CIREBON,"319,5",MM,DESEMBER,2019
74,32,JAWA BARAT,3274,KOTA CIREBON,"5,7",MM,NOVEMBER,2019
75,32,JAWA BARAT,3274,KOTA CIREBON,0,MM,OKTOBER,2019
76,32,JAWA BARAT,3274,KOTA CIREBON,0,MM,SEPTEMBER,2019
77,32,JAWA BARAT,3274,KOTA CIREBON,0,MM,AGUSTUS,2019
78,32,JAWA BARAT,3274,KOTA CIREBON,0,MM,JULI,2019
79,32,JAWA BARAT,3274,KOTA CIREBON,3,MM,JUNI,2019
80,32,JAWA BARAT,3274,KOTA CIREBON,162,MM,MEI,2019
81,32,JAWA BARAT,3274,KOTA CIREBON,"285,4",MM,APRIL,2019
82,32,JAWA BARAT,3274,KOTA CIREBON,305,MM,MARET,2019
83,32,JAWA BARAT,3274,KOTA CIREBON,"465,9",MM,FEBRUARI,2019
84,32,JAWA BARAT,3274,KOTA CIREBON,"229,8",MM,JANUARI,2019
85,32,JAWA BARAT,3274,KOTA CIREBON,"238,4",MM,DESEMBER,2018
86,32,JAWA BARAT,3274,KOTA CIREBON,118,MM,NOVEMBER,2018
87,32,JAWA BARAT,3274,KOTA CIREBON,1,MM,OKTOBER,2018
88,32,JAWA BARAT,3274,KOTA CIREBON,8,MM,SEPTEMBER,2018
89,32,JAWA BARAT,3274,KOTA CIREBON,0,MM,AGUSTUS,2018
90,32,JAWA BARAT,3274,KOTA CIREBON,0,MM,JULI,2018
91,32,JAWA BARAT,3274,KOTA CIREBON,"13,6",MM,JUNI,2018
92,32,JAWA BARAT,3274,KOTA CIREBON,"15,1",MM,MEI,2018
93,32,JAWA BARAT,3274,KOTA CIREBON,"274,9",MM,APRIL,2018
94,32,JAWA BARAT,3274,KOTA CIREBON,"896,6",MM,MARET,2018
95,32,JAWA BARAT,3274,KOTA CIREBON,"890,9",MM,FEBRUARI,2018
96,32,JAWA BARAT,3274,KOTA CIREBON,"412,7",MM,JANUARI,2018
